title,slug,intent,cluster,funnel_stage,original_asset,cta,engineer_review_state
NB Engineering Tools ইনস্টল ও অ্যাক্টিভেশন — সম্পূর্ণ গাইড,nb-tools-install-activation-guide,transactional,engineering-software,decision,"ধাপে ধাপে স্ক্রিনশট",টুলস কিনুন,planned
Mouza ম্যাপ থেকে সাইট প্ল্যান — ওয়ার্কফ্লো,mouza-map-to-site-plan-workflow,informational,mouza-drawing-workflow,awareness,"ওয়ার্কফ্লো ডায়াগ্রাম",NB Engineering Tools,planned
OCR দিয়ে পুরোনো ম্যাপ ডিজিটাইজ করা — বাস্তব সীমাবদ্ধতা,ocr-map-digitisation-limits,informational,mouza-drawing-workflow,consideration,"আগে/পরে উদাহরণ",NB Engineering Tools,planned
কনক্রিট ঢালাইয়ের আগে সাইট চেকলিস্ট,pre-pour-site-checklist-bangla,informational,construction-quality,awareness,"মুদ্রণযোগ্য চেকলিস্ট",রিসোর্স ডাউনলোড,planned
কিউরিং — কতদিন এবং কেন,concrete-curing-duration-bangla,informational,construction-quality,awareness,"সময়সূচি টেবিল",ব্লগ সাবস্ক্রিপশন,planned
রিবার কভার — মাপ ঠিক রাখার ব্যবহারিক উপায়,rebar-cover-field-practice-bangla,informational,construction-quality,awareness,"সাইট ছবি (মৌলিক)",ব্লগ সাবস্ক্রিপশন,planned
BNBC-তে সিসমিক ডিজাইন ক্যাটাগরি — শুরু করার গাইড,bnbc-seismic-category-intro,informational,bnbc-code-application,awareness,"সিদ্ধান্ত-বৃক্ষ ডায়াগ্রাম",ব্লগ সাবস্ক্রিপশন,planned
উইন্ড লোড হিসাব — একটি বাস্তব উদাহরণ,wind-load-worked-example-bangla,informational,bnbc-code-application,consideration,"সংখ্যাসহ হিসাব",ব্লগ সাবস্ক্রিপশন,planned
স্ট্রাকচারাল ড্রয়িং রিভিউ — কী কী দেখবেন,structural-drawing-review-checklist,informational,structural-engineering,consideration,"রিভিউ চেকলিস্ট",রিসোর্স ডাউনলোড,planned
ফ্রেম বিশ্লেষণের ফলাফল কীভাবে যাচাই করবেন,verifying-frame-analysis-results,informational,structural-engineering,consideration,"হাতে যাচাইয়ের উদাহরণ",ব্লগ সাবস্ক্রিপশন,planned
জুনিয়র প্রকৌশলীর প্রথম ছয় মাস — কী শিখবেন,first-six-months-junior-engineer,informational,structural-engineering,awareness,"শেখার রোডম্যাপ",কোর্স তালিকা,planned
